"filename", "language", "JSON", "JavaScript (Luxcium)", "TypeScript (Luxcium)", "comment", "blank", "total"
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/.VSCodeCounter/2022-01-25_17-08-22/results.json", "JSON", 1, 0, 0, 0, 0, 1
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/.eslintrc.js", "JavaScript (Luxcium)", 0, 24, 0, 0, 1, 25
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/.prettierrc", "JSON", 7, 0, 0, 0, 1, 8
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/nest-cli.json", "JSON", 6, 0, 0, 4, 0, 10
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/package-lock.json", "JSON", 6611, 0, 0, 0, 1, 6612
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/package.json", "JSON", 89, 0, 0, 6, 0, 95
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/Flags/flag.controller.ts", "TypeScript (Luxcium)", 0, 0, 29, 0, 7, 36
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/Flags/flag.module.ts", "TypeScript (Luxcium)", 0, 0, 17, 0, 2, 19
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/Flags/flag.service.ts", "TypeScript (Luxcium)", 0, 0, 41, 2, 11, 54
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/Flags/flagutil.service.ts", "TypeScript (Luxcium)", 0, 0, 49, 0, 11, 60
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/app.controller.ts", "TypeScript (Luxcium)", 0, 0, 10, 0, 3, 13
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/app.module.ts", "TypeScript (Luxcium)", 0, 0, 56, 1, 2, 59
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/app.service.ts", "TypeScript (Luxcium)", 0, 0, 7, 0, 2, 9
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/auth.controller.ts", "TypeScript (Luxcium)", 0, 0, 21, 0, 4, 25
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/auth.module.ts", "TypeScript (Luxcium)", 0, 0, 20, 0, 2, 22
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/auth.service.ts", "TypeScript (Luxcium)", 0, 0, 18, 0, 5, 23
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/constants.ts", "TypeScript (Luxcium)", 0, 0, 3, 0, 0, 3
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/curreentUser.ts", "TypeScript (Luxcium)", 0, 0, 6, 0, 2, 8
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/currentUser.ts", "TypeScript (Luxcium)", 0, 0, 6, 0, 2, 8
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/jwt-auth.guard.ts", "TypeScript (Luxcium)", 0, 0, 5, 0, 1, 6
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/jwt.strategy.ts", "TypeScript (Luxcium)", 0, 0, 20, 0, 2, 22
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/jwtStrategy.ts", "TypeScript (Luxcium)", 0, 0, 20, 0, 3, 23
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/auth/user-teste.decorator.ts", "TypeScript (Luxcium)", 0, 0, 7, 0, 1, 8
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/banco/banco.module.ts", "TypeScript (Luxcium)", 0, 0, 8, 0, 2, 10
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/banco/banco.service.ts", "TypeScript (Luxcium)", 0, 0, 21, 1, 6, 28
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cliente/cliente.controller.ts", "TypeScript (Luxcium)", 0, 0, 19, 1, 6, 26
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cliente/cliente.module.ts", "TypeScript (Luxcium)", 0, 0, 16, 0, 2, 18
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cliente/cliente.service.ts", "TypeScript (Luxcium)", 0, 0, 110, 3, 22, 135
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cliente/models/knexCache.ts", "TypeScript (Luxcium)", 0, 0, 31, 17, 6, 54
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/common/cripto.ts", "TypeScript (Luxcium)", 0, 0, 417, 20, 18, 455
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/config/configuracao.ts", "TypeScript (Luxcium)", 0, 0, 38, 0, 0, 38
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/contrato/contrato.controller.ts", "TypeScript (Luxcium)", 0, 0, 11, 0, 5, 16
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/contrato/contrato.dto.ts", "TypeScript (Luxcium)", 0, 0, 20, 0, 2, 22
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/contrato/contrato.module.ts", "TypeScript (Luxcium)", 0, 0, 13, 0, 2, 15
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/contrato/contrato.service.ts", "TypeScript (Luxcium)", 0, 0, 208, 6, 42, 256
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/contrato/registroTdo.ts", "TypeScript (Luxcium)", 0, 0, 3, 0, 0, 3
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cotacao/cotacao.controller.ts", "TypeScript (Luxcium)", 0, 0, 116, 6, 21, 143
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cotacao/cotacao.module.ts", "TypeScript (Luxcium)", 0, 0, 13, 0, 2, 15
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cotacao/cotacao.service.ts", "TypeScript (Luxcium)", 0, 0, 306, 30, 54, 390
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cripto/cripto.controller.ts", "TypeScript (Luxcium)", 0, 0, 23, 0, 4, 27
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cripto/cripto.dto.ts", "TypeScript (Luxcium)", 0, 0, 4, 0, 1, 5
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cripto/cripto.module.ts", "TypeScript (Luxcium)", 0, 0, 9, 0, 2, 11
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cripto/cripto.service.ts", "TypeScript (Luxcium)", 0, 0, 50, 0, 9, 59
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/cripto/hbcrypt.ts", "TypeScript (Luxcium)", 0, 0, 6, 0, 3, 9
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/database/api-database.service copy.ts", "TypeScript (Luxcium)", 0, 0, 21, 0, 3, 24
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/database/api-database.service.ts", "TypeScript (Luxcium)", 0, 0, 42, 0, 4, 46
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/database/database-cotacao.service.ts", "TypeScript (Luxcium)", 0, 0, 42, 0, 2, 44
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/database/database.module.ts", "TypeScript (Luxcium)", 0, 0, 11, 0, 2, 13
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/database/fornecedor-database.service.ts", "TypeScript (Luxcium)", 0, 0, 48, 0, 6, 54
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/database/knexCache.ts", "TypeScript (Luxcium)", 0, 0, 32, 2, 6, 40
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/database/site-success-database.service.ts", "TypeScript (Luxcium)", 0, 0, 62, 0, 6, 68
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/database/success-database.service.ts", "TypeScript (Luxcium)", 0, 0, 39, 0, 6, 45
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/empresa/empresa.controller.ts", "TypeScript (Luxcium)", 0, 0, 17, 0, 8, 25
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/empresa/empresa.module.ts", "TypeScript (Luxcium)", 0, 0, 13, 3, 3, 19
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/empresa/empresa.service.ts", "TypeScript (Luxcium)", 0, 0, 40, 0, 8, 48
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/empresa/empresa.util.service.ts", "TypeScript (Luxcium)", 0, 0, 49, 0, 11, 60
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/erros/erros.ts", "TypeScript (Luxcium)", 0, 0, 5, 0, 0, 5
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/fornecedor/currentFornecedor.ts", "TypeScript (Luxcium)", 0, 0, 6, 0, 2, 8
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/fornecedor/fornecedor.controller.ts", "TypeScript (Luxcium)", 0, 0, 35, 0, 6, 41
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/fornecedor/fornecedor.module.ts", "TypeScript (Luxcium)", 0, 0, 14, 0, 2, 16
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/fornecedor/fornecedor.service.ts", "TypeScript (Luxcium)", 0, 0, 17, 0, 5, 22
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/historico-tributos/historico-tributos.controller.ts", "TypeScript (Luxcium)", 0, 0, 19, 0, 3, 22
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/historico-tributos/historico-tributos.module.ts", "TypeScript (Luxcium)", 0, 0, 15, 0, 2, 17
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/historico-tributos/historico-tributos.service.ts", "TypeScript (Luxcium)", 0, 0, 31, 0, 5, 36
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/main.ts", "TypeScript (Luxcium)", 0, 0, 17, 1, 5, 23
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/models/types.ts", "TypeScript (Luxcium)", 0, 0, 87, 0, 4, 91
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/price/price.controller.ts", "TypeScript (Luxcium)", 0, 0, 32, 0, 7, 39
